,Ürün,Unnamed: 0,Grup,Ağırlık,Group_Number,Ana Grup
61,Dereotu,61,Taze sebzeler (patates hariç),0.0001746830266189,23,Gıda ve alkolsüz içecekler
62,Derin Dondurucu,62,"Buzdolabı, derin dondurucu",0.0028223052410648,65,Ev eşyası
63,Diğer Kitaplar,63,Kitaplar,0.0018058951101923,120,Eğlence ve kültür
64,Dolmalık Biber,64,Taze sebzeler (patates hariç),0.0006606436691663,23,Gıda ve alkolsüz içecekler
65,Domates,65,Taze sebzeler (patates hariç),0.0101976971717374,23,Gıda ve alkolsüz içecekler
66,Dondurma,66,Dondurma,0.0016825027911616,30,Gıda ve alkolsüz içecekler
67,Doğalgaz Ücreti,67,Doğalgaz ve ilgili abonelik ücretleri,0.0211263785777971,57,Konut
68,Ekmek,68,Ekmek,0.0247310664611826,3,Gıda ve alkolsüz içecekler
69,Ekmek Hamuru (Yufka),69,"Diğer fırıncılık ürünleri (bisküvi, kek, kraker, yufka, baklava vb.)",0.0011677205621648,4,Gıda ve alkolsüz içecekler
70,Ekmekarası Yiyecekler (Döner),70,"Lokanta, pastane, kafe vb. yerlerde yenen yemekler",0.0116042535699557,128,Lokanta ve oteller
71,Elbise (Kadın için),71,Kadın giyim,0.0046120358096351,44,Giyim ve ayakkabı
72,Elbise (Çocuk için),72,Çocuk giyim,0.0007218445845402,45,Giyim ve ayakkabı
73,Elektrik Ücreti,73,Elektrik,0.0202551070770804,56,Konut
74,Elektrikli Kesici Aletler (Blender),74,Elektrikli küçük ev aletleri,0.0006810647771702,70,Ev eşyası
75,Elektrikli Küçük Ev Aletleri (Tost Makinası),75,Elektrikli küçük ev aletleri,0.0004300280124203,70,Ev eşyası
76,Elektrikli Saç Bakım Aletleri,76,Kişisel bakımda kullanılan elektrikli aletler,0.00052908155956,134,Çeşitli mal ve hizmetler
77,Elektrikli Süpürge,77,Diğer büyük ev aletleri (elektrikli süpürge vb.),0.0027760750916059,69,Ev eşyası
78,Elma,78,Taze meyveler,0.0029277201241989,21,Gıda ve alkolsüz içecekler
79,Erkek Berberi,79,Erkekler için kuaförlük hizmetleri,0.0033656353667469,132,Çeşitli mal ve hizmetler
80,Erkek Mont,80,Erkek giyim,0.0014966587266679,43,Giyim ve ayakkabı
81,Etek,81,Kadın giyim,0.001433060062503,44,Giyim ve ayakkabı
82,Evcil Hayvanlar İçin Gıda Harcamaları,82,Evcil hayvanlar ile ilgili ürünler,0.002235694228353,114,Eğlence ve kültür
83,Eşarp,83,"Diğer giyim eşyaları ve aksesuarları (kravat, kemer, eşarp vb.)",0.0011440412454677,47,Giyim ve ayakkabı
84,Eşofman (Erkek için),84,Erkek giyim,0.0009142337798859,43,Giyim ve ayakkabı
85,Eşofman (Kadın için),85,Kadın giyim,0.0011247746132736,44,Giyim ve ayakkabı
86,Eşofman (Çocuk için),86,Çocuk giyim,0.0016312960833475,45,Giyim ve ayakkabı
87,Fındık Ezmesi,87,"Reçel, marmelat, bal vb. ürünler",0.0001359873500877,28,Gıda ve alkolsüz içecekler
88,Fındık İçi,88,Kuru meyve ve sert kabuklu yemişler,0.0007836258911659,22,Gıda ve alkolsüz içecekler
89,Gazoz Meyveli,89,"Alkolsüz içecekler (meşrubat, ayran vb.)",0.0006019038753192,36,Gıda ve alkolsüz içecekler
90,Genç Odası Takımı,90,Yatak odası mobilyaları,0.000832662102293,61,Ev eşyası
91,Gofret,91,"Diğer fırıncılık ürünleri (bisküvi, kek, kraker, yufka, baklava vb.)",0.0017139413873977,4,Gıda ve alkolsüz içecekler
92,Gömlek (Erkek için),92,Erkek giyim,0.0027259766538709,43,Giyim ve ayakkabı
93,Gömlek (Kadın için),93,Kadın giyim,0.0014132725484522,44,Giyim ve ayakkabı
94,Gömlek (Çocuk için),94,Çocuk giyim,0.0003649550290291,45,Giyim ve ayakkabı
95,Gündelikçi Ücreti,95,Ev içi hizmetler (gündelikçi ücreti),0.0046863211612293,79,Ev eşyası
96,Halı,96,Halı,0.0015539727628595,63,Ev eşyası
97,Halı Temizleme,97,Ev eşyalarının yıkanması ve temizlenmesi hizmetleri,0.0011539984086511,80,Ev eşyası
98,Havlu,98,Ev tekstili,0.0005568771026329,64,Ev eşyası
99,Havuç,99,Taze sebzeler (patates hariç),0.0010063309273877,23,Gıda ve alkolsüz içecekler
100,Hazır Et Yemekleri,100,"Şarküteri ürünleri (sucuk, sosis, salam vb.)",0.0011269494155922,11,Gıda ve alkolsüz içecekler
101,Hazır Kahve,101,Kahve,0.0008102256332958,32,Gıda ve alkolsüz içecekler
102,Hazır Pakette Toz Tatlılar (Puding),102,"Başka yerde sınıflandırılamayan diğer gıda ürünleri (tuz, sirke, ketçap, mayonez vb.)",0.0002554552037502,31,Gıda ve alkolsüz içecekler
103,Hazır Sütlü Tatlılar,103,"Diğer süt ürünleri (yoğurt, hazır sütlü tatlı vb.)",0.0002525921551136,15,Gıda ve alkolsüz içecekler
104,"Hazır Yemekler (Pilav, Kuru Fasulye)",104,"Lokanta, pastane, kafe vb. yerlerde yenen yemekler",0.0132893609581732,128,Lokanta ve oteller
105,Hazır Çorbalar,105,"Başka yerde sınıflandırılamayan diğer gıda ürünleri (tuz, sirke, ketçap, mayonez vb.)",0.0003982841077785,31,Gıda ve alkolsüz içecekler
106,Hijyenik Kadın Bağı,106,"Kişisel hijyen ve bakım için kullanılan ürünler, kozmetikler",0.0008863495861155,135,Çeşitli mal ve hizmetler
107,Hijyenik Zeminler İçin Temizlik ve Bakım Ürünleri,107,"Ev ile ilgili temizlik malzemeleri (deterjan, yumuşatıcı vb.)",0.0011659397381984,77,Ev eşyası
108,Hırka (Kadın için),108,Kadın giyim,0.000847954580252,44,Giyim ve ayakkabı
109,Ispanak,109,Taze sebzeler (patates hariç),0.0009251117132097,23,Gıda ve alkolsüz içecekler
110,Kabak,110,Taze sebzeler (patates hariç),0.0007698654019716,23,Gıda ve alkolsüz içecekler
111,Kabak Çekirdeği,111,Kuru meyve ve sert kabuklu yemişler,0.0003636868116853,22,Gıda ve alkolsüz içecekler
112,Kaban (Erkek için),112,Erkek giyim,0.0003325014500548,43,Giyim ve ayakkabı
113,Kaban (Kadın için),113,Kadın giyim,0.0012229012999514,44,Giyim ve ayakkabı
114,Kaban Anorak (Çocuk için),114,Çocuk giyim,0.0001101982641625,45,Giyim ve ayakkabı
115,Kabartma Maddeleri,115,"Başka yerde sınıflandırılamayan diğer gıda ürünleri (tuz, sirke, ketçap, mayonez vb.)",0.0002379099556803,31,Gıda ve alkolsüz içecekler
116,Kadın Berberi,116,Kadınlar için kuaförlük hizmetleri,0.002924717510971,133,Çeşitli mal ve hizmetler
117,Kahve,117,Kahve,0.0012019692133368,32,Gıda ve alkolsüz içecekler
118,Kakao,118,Toz kakao,5.4884506628614696e-05,34,Gıda ve alkolsüz içecekler
119,Kakaolu Toz İçecekler,119,Toz kakao,1.598812298665692e-05,34,Gıda ve alkolsüz içecekler
120,Kalem,120,Kırtasiye malzemeleri,0.0003620818841555,122,Eğlence ve kültür
121,"Kapı Aksesuarları (Anahtar, Kilit)",121,Evle ilgili küçük bakım-tamir mal ve hizmetleri,0.0004209910881893,76,Ev eşyası
122,Kargo Gönderme Ücreti,122,"Diğer satın alınan ulaştırma hizmetleri (nakliye, kargo vb.)",0.0002262394071569,104,Ulaştırma
123,Karnabahar,123,Taze sebzeler (patates hariç),0.0006096585655212,23,Gıda ve alkolsüz içecekler
124,Karpuz,124,Taze meyveler,0.0030080243045435,21,Gıda ve alkolsüz içecekler
125,Kavun,125,Taze meyveler,0.0013826740015538,21,Gıda ve alkolsüz içecekler
126,Kazak (Erkek için),126,Erkek giyim,0.0013032147190626,43,Giyim ve ayakkabı
127,Kazak (Kadın için),127,Kadın giyim,0.0032694394651601,44,Giyim ve ayakkabı
128,Kazak (Çocuk için),128,Çocuk giyim,0.0007429418738221,45,Giyim ve ayakkabı
129,Kağıtlı Şeker,129,Çikolata ve şekerlemeler,0.0018769363054352,29,Gıda ve alkolsüz içecekler
130,Kaşar Peyniri,130,Peynir,0.0037578455222598,16,Gıda ve alkolsüz içecekler
131,"Kaşık, Çatal, Bıçak Takımı (Çelik)",131,Çatal-bıçak takımı,0.0004395349257506,73,Ev eşyası
132,Kebaplar,132,"Lokanta, pastane, kafe vb. yerlerde yenen yemekler",0.0100169450874829,128,Lokanta ve oteller
133,Kek,133,"Diğer fırıncılık ürünleri (bisküvi, kek, kraker, yufka, baklava vb.)",0.000898807474477,4,Gıda ve alkolsüz içecekler
134,Kemer,134,"Diğer giyim eşyaları ve aksesuarları (kravat, kemer, eşarp vb.)",0.0004215879312561,47,Giyim ve ayakkabı
135,Kesme Şeker,135,Şeker,0.0005131964687837,27,Gıda ve alkolsüz içecekler
136,Ketçap,136,"Başka yerde sınıflandırılamayan diğer gıda ürünleri (tuz, sirke, ketçap, mayonez vb.)",0.0002859611049587,31,Gıda ve alkolsüz içecekler
137,Kiracı Tarafından Ödenen Gerçek Kira,137,Gerçek kira,0.0767987540522442,53,Konut
138,Kivi,138,Taze meyveler,0.000207749453028,21,Gıda ve alkolsüz içecekler
139,Klima,139,Klima ve ısıtıcılar,0.0014861253849901,68,Ev eşyası
140,Kola,140,"Alkolsüz içecekler (meşrubat, ayran vb.)",0.0021911944517285,36,Gıda ve alkolsüz içecekler
141,Kolonya,141,"Kişisel hijyen ve bakım için kullanılan ürünler, kozmetikler",0.0005417488046073,135,Çeşitli mal ve hizmetler
142,Kombi,142,Klima ve ısıtıcılar,0.0018460876437194,68,Ev eşyası
143,Konserve Balık,143,Konserve edilmiş veya işlenmiş balık,0.0002805130269873,13,Gıda ve alkolsüz içecekler
144,Konserveler,144,"Konserve edilmiş veya işlenmiş sebze içerikli ürünler (salça, turşu, zeytin vb. dahil)",0.000293289936046,26,Gıda ve alkolsüz içecekler
145,Kraker,145,"Diğer fırıncılık ürünleri (bisküvi, kek, kraker, yufka, baklava vb.)",0.0006584872241272,4,Gıda ve alkolsüz içecekler
146,Kravat,146,"Diğer giyim eşyaları ve aksesuarları (kravat, kemer, eşarp vb.)",0.0001208740142557,47,Giyim ve ayakkabı
147,Krem Peynir,147,Peynir,0.0006044180981568,16,Gıda ve alkolsüz içecekler
148,Kuru Fasulye,148,Kuru baklagiller,0.0010379850859909,25,Gıda ve alkolsüz içecekler
149,Kuru Kayısı,149,Kuru meyve ve sert kabuklu yemişler,0.0003758184495326,22,Gıda ve alkolsüz içecekler
150,Kuru Soğan,150,Taze sebzeler (patates hariç),0.0034215561633808,23,Gıda ve alkolsüz içecekler
151,Kuru Temizleme Ücreti,151,Giyim eşyalarının temizlenmesi ve tadilatı,0.0004094050261272,48,Giyim ve ayakkabı
152,Kuru Üzüm,152,Kuru meyve ve sert kabuklu yemişler,0.0003809886291053,22,Gıda ve alkolsüz içecekler
153,Kuzu Eti,153,Kuzu eti,0.0098153465786229,8,Gıda ve alkolsüz içecekler
154,Kömür Ücreti,154,"Katı yakıtlar (odun, kömür)",0.0066041063446395,59,Konut
155,Köprü Geçiş Ücreti,155,Kişisel ulaştırma araçları ile ilgili diğer hizmetler (köprü ve otoban geçiş ücretleri dahil),5.328257314295192e-05,96,Ulaştırma
156,Kırmızı Lahana,156,Taze sebzeler (patates hariç),0.0002109334698889,23,Gıda ve alkolsüz içecekler
157,Kırmızı Turp,157,Taze sebzeler (patates hariç),0.0002208773158572,23,Gıda ve alkolsüz içecekler
158,Kıvırcık,158,Taze sebzeler (patates hariç),0.001004991740279,23,Gıda ve alkolsüz içecekler
159,LPG (Araba Tüpü Dolum)  Ücreti,159,"Kişisel ulaştırma araçlarının yakıt ve yağları (benzin, motorin, motor yağı)",0.0105769213181257,94,Ulaştırma
160,Leblebi,160,Kuru meyve ve sert kabuklu yemişler,0.000424658484875,22,Gıda ve alkolsüz içecekler
161,Limon,161,Taze meyveler,0.0014680682048678,21,Gıda ve alkolsüz içecekler
162,Lokum,162,Çikolata ve şekerlemeler,0.0008164411707694,29,Gıda ve alkolsüz içecekler
163,Maden Suyu ve Sodası,163,Su ve maden suyu,0.0007860752558715,35,Gıda ve alkolsüz içecekler
164,Makarna,164,Makarna çeşitleri,0.0028168026162661,5,Gıda ve alkolsüz içecekler
165,Makyaj Malzemeleri,165,"Kişisel hijyen ve bakım için kullanılan ürünler, kozmetikler",0.001040321924238,135,Çeşitli mal ve hizmetler
166,Mandalina,166,Taze meyveler,0.0020284924380531,21,Gıda ve alkolsüz içecekler
167,Mantar,167,Taze sebzeler (patates hariç),0.000754708927687,23,Gıda ve alkolsüz içecekler
168,Margarin,168,Margarin,0.0007826338532929,19,Gıda ve alkolsüz içecekler
169,Maydanoz,169,Taze sebzeler (patates hariç),0.0007742768217644,23,Gıda ve alkolsüz içecekler
170,Mayonez,170,"Başka yerde sınıflandırılamayan diğer gıda ürünleri (tuz, sirke, ketçap, mayonez vb.)",0.0002127934394857,31,Gıda ve alkolsüz içecekler
171,Mendil,171,"Kişisel hijyen ve bakım için kullanılan ürünler, kozmetikler",0.0011044386241084,135,Çeşitli mal ve hizmetler
172,Mercimek,172,Kuru baklagiller,0.0012184443928852,25,Gıda ve alkolsüz içecekler
173,Metro Ücreti,173,Demiryolu ile şehir içi yolcu taşımacılığı,3.332456230700915e-05,97,Ulaştırma
174,Meyve Suyu,174,Meyve ve sebze suları,0.0011723902243169,37,Gıda ve alkolsüz içecekler
175,Motor Yağları,175,"Kişisel ulaştırma araçlarının yakıt ve yağları (benzin, motorin, motor yağı)",0.0003422356481112,94,Ulaştırma
176,Motorin,176,"Kişisel ulaştırma araçlarının yakıt ve yağları (benzin, motorin, motor yağı)",0.0154039867388254,94,Ulaştırma
177,Motorsiklet,177,Motosikletler,0.0045546275696708,91,Ulaştırma
178,Muz,178,Taze meyveler,0.0040146650175673,21,Gıda ve alkolsüz içecekler
179,Mücevher (Altın),179,"Mücevheratlar, saat ve kol saatleri",0.0045556529674283,136,Çeşitli mal ve hizmetler
180,Müzik Aletleri ,180,Müzik enstrümanları,0.0008403720024559,111,Eğlence ve kültür
181,Nane,181,Taze sebzeler (patates hariç),0.0001186055302883,23,Gıda ve alkolsüz içecekler
182,Nar,182,Taze meyveler,0.0003580501763821,21,Gıda ve alkolsüz içecekler
183,Nevresim Takımı,183,Ev tekstili,0.0013283685505566,64,Ev eşyası
184,No-Frost Buzdolabı,184,"Buzdolabı, derin dondurucu",0.0056186233682665,65,Ev eşyası
185,Nohut,185,Kuru baklagiller,0.0006573818500621,25,Gıda ve alkolsüz içecekler
186,Odun Ücreti,186,"Katı yakıtlar (odun, kömür)",0.0021666843069094,59,Konut
187,Okul Defteri,187,Kırtasiye malzemeleri,0.0004307194397189,122,Eğlence ve kültür
188,Okul Çantası,188,Seyahat malzemeleri ve diğer kişisel aksesuarlar,0.0006047984210705,137,Çeşitli mal ve hizmetler
189,Otel Ücreti,189,"Otel, pansyion vb. yerlerde konaklama hizmetleri",0.0056437557854096,130,Lokanta ve oteller
190,Otoban Geçiş Ücreti,190,Kişisel ulaştırma araçları ile ilgili diğer hizmetler (köprü ve otoban geçiş ücretleri dahil),0.0001153232130606,96,Ulaştırma
191,Otomobil (Benzinli),191,Benzinli ve elektrikli otomobiller (sıfır km),0.0603101929006989,90,Ulaştırma
192,Otomobil (Dizel),192,Dizel otomobiller (sıfır km),0.0073937950202814,89,Ulaştırma
193,Otomobil (Elektrikli),193,Benzinli ve elektrikli otomobiller (sıfır km),0.0107374220305736,90,Ulaştırma
194,Otopark Ücreti,194,Kişisel ulaştırma araçları ile ilgili diğer hizmetler (köprü ve otoban geçiş ücretleri dahil),0.0003765358453903,96,Ulaştırma
195,Oturma Odası Takımı,195,Yemek odası ve oturma odası mobilyaları,0.0077029631669254,62,Ev eşyası
196,Oyuncak,196,"Oyunlar, oyuncaklar ve hobiler",0.0010684599560089,112,Eğlence ve kültür
197,Pantolon (Erkek için),197,Erkek giyim,0.0061888162776054,43,Giyim ve ayakkabı
198,Pantolon (Kadın için),198,Kadın giyim,0.004695892673236,44,Giyim ve ayakkabı
199,Pantolon (Çocuk için),199,Çocuk giyim,0.0022358733366374,45,Giyim ve ayakkabı
200,Pardösü (Kadın için),200,Kadın giyim,0.0004851355209941,44,Giyim ve ayakkabı
201,Parfüm,201,"Kişisel hijyen ve bakım için kullanılan ürünler, kozmetikler",0.0013733735013999,135,Çeşitli mal ve hizmetler
202,Pasta,202,"Diğer fırıncılık ürünleri (bisküvi, kek, kraker, yufka, baklava vb.)",0.0032006476353218,4,Gıda ve alkolsüz içecekler
203,Pastane Ürünleri,203,"Lokanta, pastane, kafe vb. yerlerde yenen yemekler",0.0038251350525744,128,Lokanta ve oteller
204,Patates,204,Patates,0.0019311989200351,24,Gıda ve alkolsüz içecekler
205,Patlıcan,205,Taze sebzeler (patates hariç),0.0022113674554201,23,Gıda ve alkolsüz içecekler
206,Pekmez,206,"Reçel, marmelat, bal vb. ürünler",0.0004827856724633,28,Gıda ve alkolsüz içecekler
207,Perde,207,Ev tekstili,0.0006014759928961,64,Ev eşyası
208,Pideler,208,"Lokanta, pastane, kafe vb. yerlerde yenen yemekler",0.007527945996215,128,Lokanta ve oteller
209,Pijama (Erkek için),209,Erkek giyim,0.000236178954229,43,Giyim ve ayakkabı
210,Pijama (Kadın için),210,Kadın giyim,0.0009477334640547,44,Giyim ve ayakkabı
211,Pijama (Çocuk için),211,Çocuk giyim,0.0004238625811082,45,Giyim ve ayakkabı
212,Pike Takımı,212,Ev tekstili,0.0004910250929997,64,Ev eşyası
213,Pil,213,"Çeşitli küçük aksesuarlar (pil, ampul vb.)",0.0003747407333642,75,Ev eşyası
214,Pirinç,214,Pirinç,0.0031508920402864,1,Gıda ve alkolsüz içecekler
215,Pizzalar,215,"Lokanta, pastane, kafe vb. yerlerde yenen yemekler",0.0032141922617949,128,Lokanta ve oteller
216,Plastik Mutfak Eşyaları,216,"Elektriksiz mutfak eşyaları ve ev gereçleri (tencere, tava, çaydanlık vb.)",0.0009180272790241,74,Ev eşyası
217,Porselen Ev Eşyası,217,"Cam, porselen, seramik vb. mutfak eşyaları",0.0015209303997923,72,Ev eşyası
218,Portakal,218,Taze meyveler,0.0021420358573292,21,Gıda ve alkolsüz içecekler
219,Pırasa,219,Taze sebzeler (patates hariç),0.0005439671407451,23,Gıda ve alkolsüz içecekler
220,Rakı,220,"Alkollü içecekler (rakı, viski, votka vb.)",0.001053515203111,38,Alkollü içecekler ve tütün
221,Resim Boyaları,221,Kırtasiye malzemeleri,0.0002274672248463,122,Eğlence ve kültür
222,Reçel,222,"Reçel, marmelat, bal vb. ürünler",0.0003208035422892,28,Gıda ve alkolsüz içecekler
223,Roka,223,Taze sebzeler (patates hariç),0.0002198825185472,23,Gıda ve alkolsüz içecekler
224,Saat,224,"Mücevheratlar, saat ve kol saatleri",0.0006340260718911,136,Çeşitli mal ve hizmetler
225,Sabun,225,"Kişisel hijyen ve bakım için kullanılan ürünler, kozmetikler",0.000428171436382,135,Çeşitli mal ve hizmetler
226,Sakatat,226,Diğer etler ve yenilebilir sakatatlar,0.0006781589666928,10,Gıda ve alkolsüz içecekler
227,Sakız,227,Çikolata ve şekerlemeler,0.0004878689890752,29,Gıda ve alkolsüz içecekler
228,Salam,228,"Şarküteri ürünleri (sucuk, sosis, salam vb.)",0.0009264218345256,11,Gıda ve alkolsüz içecekler
229,Salatalık,229,Taze sebzeler (patates hariç),0.0040617611027538,23,Gıda ve alkolsüz içecekler
230,Salça,230,"Konserve edilmiş veya işlenmiş sebze içerikli ürünler (salça, turşu, zeytin vb. dahil)",0.0020116015657701,26,Gıda ve alkolsüz içecekler
231,Sarımsak,231,Taze sebzeler (patates hariç),0.0007734257567492,23,Gıda ve alkolsüz içecekler
232,Saç Bakım Ürünleri,232,"Kişisel hijyen ve bakım için kullanılan ürünler, kozmetikler",0.0035595879692109,135,Çeşitli mal ve hizmetler
233,Scooter (Çocuk),233,"Oyunlar, oyuncaklar ve hobiler",0.001142355581833,112,Eğlence ve kültür
234,Sehpa,234,Yemek odası ve oturma odası mobilyaları,0.0002316406857515,62,Ev eşyası
235,Sigaralar,235,Sigaralar,0.0365861614248528,41,Alkollü içecekler ve tütün
